n_voters,n_alternatives,p_no_winner
109,4,0.1688
104,7,0.5128
102,8,0.542
99,6,0.3176
89,9,0.4588
111,3,0.0848
113,2,0.0
93,8,0.3916
103,5,0.2524
99,9,0.4492
108,5,0.3768
100,9,0.5796
114,1,0.0
112,3,0.206
97,7,0.3564
111,2,0.0
113,1,0.0
107,6,0.3024
103,8,0.408
93,9,0.448
105,7,0.366
87,10,0.4712
107,4,0.1788
101,9,0.4532
109,3,0.0832
112,2,0.068
104,8,0.5556
112,4,0.2972
91,9,0.4344
95,8,0.4104
102,9,0.5852
110,5,0.3856
115,2,0.0
105,5,0.2376
92,9,0.6132
100,7,0.514
117,1,0.0
106,5,0.3856
105,8,0.4112
89,10,0.4748
115,1,0.0
103,6,0.3116
103,9,0.4592
106,8,0.5436
112,5,0.386
110,6,0.428
114,2,0.0668
104,9,0.5668
118,1,0.0
107,5,0.246
116,1,0.0
101,7,0.3648
94,9,0.5976
110,4,0.3104
113,3,0.0864
116,3,0.1808
98,8,0.538
102,7,0.496
105,6,0.3192
114,3,0.202
115,4,0.17
112,6,0.4568
92,10,0.6216
111,4,0.1828
116,2,0.0764
117,3,0.0948
110,7,0.4996
103,10,0.48
114,5,0.3484
106,6,0.442
103,7,0.368
106,9,0.5888
116,4,0.294
120,1,0.0
99,8,0.4132
96,9,0.5904
117,2,0.0
109,5,0.252
119,1,0.0
111,7,0.3848
108,6,0.4448
113,4,0.1824
115,5,0.2288
115,3,0.0972
97,9,0.4664
112,7,0.5128
120,2,0.0716
94,10,0.6264
118,2,0.078
109,8,0.4164
114,6,0.4652
119,3,0.0956
110,8,0.5388
118,4,0.2908
98,9,0.5996
119,2,0.0
111,5,0.25
120,3,0.1764
114,4,0.2864
109,6,0.3176
117,5,0.258
121,1,0.0
113,7,0.3632
123,1,0.0
106,10,0.5956
106,7,0.5144
119,4,0.1852
96,10,0.6216
121,3,0.0816
118,3,0.2052
114,7,0.5076
113,5,0.2444
118,5,0.4036
107,7,0.3688
122,1,0.0
107,10,0.494
110,9,0.5768
125,1,0.0
121,2,0.0
117,6,0.3208
122,3,0.1908
117,4,0.1868
126,1,0.0
111,6,0.316
108,7,0.494
116,7,0.5076
124,1,0.0
122,2,0.0728
120,5,0.3752
97,10,0.4988
112,9,0.5856
98,10,0.6008
122,4,0.2988
124,3,0.1832
123,2,0.0
126,2,0.0692
113,6,0.3064
109,7,0.3692
116,5,0.3804
124,2,0.0724
100,10,0.6208
124,4,0.2756
120,6,0.4484
105,10,0.4824
116,8,0.5468
125,2,0.0
115,8,0.4152
122,5,0.3752
99,10,0.4732
107,8,0.402
113,9,0.464
126,3,0.1952
127,1,0.0
123,3,0.0804
114,9,0.5864
120,4,0.2888
101,10,0.4732
112,10,0.6136
108,8,0.5356
129,1,0.0
117,8,0.4032
127,3,0.0924
121,4,0.1716
102,10,0.608
126,4,0.28
118,8,0.5156
105,9,0.4444
115,6,0.3128
115,9,0.452
128,1,0.0
127,2,0.0
116,6,0.4444
119,5,0.2564
119,6,0.3072
122,6,0.4452
125,5,0.2568
128,3,0.1952
125,3,0.094
127,4,0.1804
123,6,0.3116
123,4,0.1652
112,8,0.5416
116,9,0.6004
130,2,0.064
129,3,0.0924
104,10,0.6088
128,2,0.0732
131,2,0.0
121,5,0.238
118,9,0.5788
118,6,0.4524
130,1,0.0
111,8,0.412
115,10,0.4736
116,10,0.6028
129,2,0.0
107,9,0.456
127,5,0.2476
108,9,0.5632
131,1,0.0
125,4,0.1772
115,7,0.3576
126,6,0.4084
123,7,0.358
132,2,0.0652
124,7,0.486
121,8,0.3996
134,1,0.0
123,5,0.2372
132,1,0.0
130,4,0.2884
113,8,0.4136
109,9,0.4584
114,8,0.5468
132,3,0.1884
118,10,0.5996
117,7,0.3652
124,5,0.3656
135,1,0.0
133,1,0.0
134,2,0.078
125,7,0.3508
123,8,0.4044
121,6,0.3292
133,3,0.0948
118,7,0.5112
124,8,0.55
128,6,0.4436
135,2,0.0
130,3,0.1828
121,9,0.4752
130,5,0.3744
111,9,0.4488
119,10,0.478
122,9,0.5736
128,4,0.3008
108,10,0.6152
109,10,0.4772
133,2,0.0
131,3,0.09
119,7,0.3596
126,5,0.3756
127,7,0.3784
125,8,0.4056
136,2,0.0608
131,5,0.2456
111,10,0.4852
133,4,0.1724
120,7,0.5108
126,8,0.5356
136,1,0.0
129,4,0.174
124,6,0.4472
137,2,0.0
124,9,0.5712
136,3,0.2032
110,10,0.6136
121,7,0.3712
137,1,0.0
139,1,0.0
138,2,0.0676
125,6,0.3164
128,5,0.368
131,4,0.1624
137,3,0.0848
140,1,0.0
122,7,0.5024
138,1,0.0
132,6,0.4256
128,8,0.5344
134,5,0.368
139,2,0.0
134,3,0.1948
136,4,0.2792
123,10,0.4872
124,10,0.5904
132,4,0.2828
122,8,0.5416
135,3,0.086
129,5,0.2488
140,2,0.0664
119,8,0.4088
135,5,0.256
141,1,0.0
120,8,0.5312
131,7,0.3616
127,6,0.3228
141,2,0.0
140,3,0.1944
136,5,0.3744
125,10,0.4968
138,4,0.2864
113,10,0.4644
117,9,0.4584
126,10,0.5892
114,10,0.5932
134,4,0.304
143,1,0.0
133,6,0.294
142,2,0.0632
135,4,0.174
126,7,0.486
141,3,0.086
131,8,0.3996
132,5,0.368
133,7,0.374
144,1,0.0
138,5,0.3816
137,4,0.1824
142,1,0.0
138,3,0.1936
143,2,0.0
130,7,0.5004
134,7,0.492
129,6,0.3204
130,9,0.5744
142,3,0.1928
129,9,0.4624
127,10,0.498
119,9,0.4452
130,6,0.4352
139,3,0.0836
128,9,0.572
120,9,0.578
137,6,0.32
143,3,0.0868
130,8,0.5408
131,6,0.3084
140,5,0.352
128,7,0.5112
138,6,0.4472
144,3,0.1724
131,9,0.464
146,1,0.0
133,5,0.2468
145,2,0.0
147,1,0.0
145,1,0.0
129,10,0.5004
144,2,0.0592
117,10,0.4932
139,4,0.172
129,7,0.3648
134,6,0.428
122,10,0.6068
140,4,0.2912
146,3,0.18
136,8,0.5436
137,5,0.2556
127,8,0.4072
148,2,0.0644
149,1,0.0
120,10,0.612
